time,latitude,longitude,location_id,location_name,sample_id,session_id,water_temperature,salinity,turbidity,ph,oxygen,oxygen_saturation,nitrogen,phosphorus,phosphate,silicate,nitrate_nitrite,ammonia,qa_comments
UTC,degrees_north,degrees_east,,,,,Celsius,1,1,1,mg/L,%,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,
2016-06-14T18:03:00Z,20.967083,-156.68139,RPO,Pohaku,RPO160614,1,25.7,33.3,13.9,8.11,6.86,102.1,311.07,26.26,18.72,1697.47,233.11,2.81,
2016-06-14T18:37:00Z,20.949331,-156.691124,RKS,Kaanapali Shores,RKS160614,1,24.9,23.8,16.8,8.07,6.86,100.6,75.08,18.8,9.06,1720.37,5.65,4.15,
2016-06-14T19:15:00Z,20.936669,-156.69278,RAB,Airport Beach,RAB160614,1,26.8,35.0,2.62,8.06,6.72,101.6,91.26,10.73,8.46,604.37,24.72,1.88,
2016-06-14T19:50:00Z,20.910347,-156.689382,RCB,Canoe Beach,RCB160614,1,27.2,34.7,5.86,8.06,6.78,103.5,117.22,16.68,9.4,576.28,49.04,2.27,
2016-06-14T20:24:00Z,20.904476,-156.685931,RWA,Wahikuli,RWA160614,1,27.3,34.6,3.47,8.15,6.66,101.8,84.6,24.07,12.38,822.08,21.35,1.5,NH4 below detectable limit
2016-06-15T17:37:00Z,20.86732,-156.67605,PFF,505 Front Street,PFF160615,1,26.7,27.8,2.89,8.05,6.27,94.7,65.9,17.64,7.82,461.59,2.7,1.84,
2016-06-15T18:28:00Z,20.86485,-156.67374,PLH,Lindsey Hale,PLH160615,1,26.8,28.1,2.8,7.99,6.57,99.6,90.04,14.32,6.22,169.92,2.79,2.89,
2016-06-15T18:59:00Z,20.86356,-156.67297,PLT,Lahaina Town,PLT160615,1,27.2,28.2,2.91,8.09,6.72,102.4,72.13,11.0,5.58,125.36,4.24,2.57,
2016-06-15T20:42:00Z,20.80916,-156.62289,OSF,Olowalu Shore Front,OSF160615,1,27.4,29.6,1.19,8.11,6.94,106.1,71.07,14.41,4.85,72.9,4.07,2.8,
2016-06-16T17:45:00Z,20.80986,-156.61369,OCO,Camp Olowalu,OCO160616,1,25.3,29.3,23.3,7.96,6.86,101.2,78.22,10.8,7.56,330.61,5.91,2.74,
2016-06-16T18:20:00Z,20.80915,-156.60661,OMM,Mile Marker 14,OMM160616,1,25.4,27.7,5.48,7.91,6.61,97.8,107.57,15.37,7.28,451.55,7.11,8.69,
2016-06-16T19:17:00Z,20.79448,-156.58142,OUB,Ukumehame Beach,OUB160616,1,25.2,28.1,16.87,8.06,7.0,103.1,63.47,16.77,6.34,112.01,2.64,1.79,
2016-06-16T19:40:00Z,20.793809,-156.575211,OPB,Papalaua,OPB160616,1,25.6,28.0,10.71,8.08,7.1,105.2,66.16,20.47,5.71,137.9,2.84,1.92,
2016-06-16T20:00:00Z,20.792747,-156.567326,OPP,Papalaua Pali,OPP160616,1,26.0,36.0,5.37,8.07,7.01,104.6,122.85,20.4,6.52,145.4,3.26,4.45,
2016-06-28T17:25:00Z,20.967083,-156.68139,RPO,Pohaku,RPO160628,2,25.7,26.4,11.73,8.09,6.71,100.0,332.98,24.8,18.29,1621.15,259.15,5.43,
2016-06-28T17:54:00Z,20.949331,-156.691124,RKS,Kaanapali Shores,RKS160628,2,24.2,22.2,9.79,8.13,6.9,100.3,75.12,14.77,8.49,1435.92,6.13,3.59,
2016-06-28T18:22:00Z,20.936669,-156.69278,RAB,Airport Beach,RAB160628,2,26.4,27.6,1.77,8.1,6.59,99.3,90.93,16.97,8.28,510.71,26.44,2.59,
2016-06-28T18:46:00Z,20.910347,-156.689382,RCB,Canoe Beach,RCB160628,2,26.6,28.2,3.43,8.09,6.81,103.0,121.25,18.89,9.13,649.57,57.28,3.2,
2016-06-28T19:06:00Z,20.904476,-156.685931,RWA,Wahikuli,RWA160628,2,26.9,27.9,3.13,8.13,6.77,103.0,83.6,20.43,10.91,633.71,15.03,3.34,
2016-06-29T17:43:00Z,20.86732,-156.67605,PFF,505 Front Street,PFF160629,2,27.0,30.1,1.65,7.98,6.34,96.5,63.47,15.83,6.8,317.31,2.06,2.91,
2016-06-29T18:24:00Z,20.86485,-156.67374,PLH,Lindsey Hale,PLH160629,2,27.2,29.1,3.43,8.04,6.29,96.0,65.05,15.92,7.83,245.7,5.67,2.24,
2016-06-29T18:50:00Z,20.86356,-156.67297,PLT,Lahaina Town,PLT160629,2,27.3,28.9,1.98,8.02,6.21,95.0,72.79,15.9,6.78,217.71,6.28,3.17,
2016-06-29T20:04:00Z,20.84236,-156.653035,OLP,Launiupoko,OLP160629,2,28.5,29.9,4.53,8.07,6.6,102.1,97.7,14.02,6.11,201.84,8.61,11.26,
2016-06-29T20:39:00Z,20.80916,-156.62289,OSF,Olowalu Shore Front,OSF160629,2,28.0,29.3,1.07,8.1,7.17,111.1,87.44,13.94,4.5,84.66,3.88,6.2,
2016-06-30T17:33:00Z,20.80986,-156.61369,OCO,Camp Olowalu,OCO160630,2,27.7,30.3,7.4,8.01,6.43,98.9,84.09,14.15,5.29,354.48,1.74,4.0,
2016-06-30T18:00:00Z,20.80915,-156.60661,OMM,Mile Marker 14,OMM160630,2,27.1,29.1,2.61,8.01,6.08,92.7,62.48,15.76,5.35,396.39,2.73,3.12,
2016-06-30T18:31:00Z,20.79448,-156.58142,OUB,Ukumehame Beach,OUB160630,2,26.9,29.7,10.6,8.05,6.81,103.4,76.47,12.3,4.05,113.15,0.12,2.92,
2016-06-30T18:50:00Z,20.793809,-156.575211,OPB,Papalaua,OPB160630,2,27.4,29.3,3.37,8.1,6.88,105.2,75.58,12.24,3.99,138.61,3.41,3.93,
2016-06-30T19:15:00Z,20.792747,-156.567326,OPP,Papalaua Pali,OPP160630,2,27.7,29.5,4.54,8.07,6.7,103.1,60.96,12.42,4.49,72.63,0.41,3.48,
2016-07-12T17:19:00Z,20.967083,-156.68139,RPO,Pohaku,RPO160712,3,26.6,33.1,5.14,8.09,6.49,97.4,308.74,24.52,16.42,1360.25,250.73,2.25,
2016-07-12T17:49:00Z,20.949331,-156.691124,RKS,Kaanapali Shores,RKS160712,3,26.0,NaN,3.9,8.07,6.53,100.1,73.05,14.52,6.85,680.64,2.96,2.66,Salinity QA'ed out
2016-07-12T18:16:00Z,20.936669,-156.69278,RAB,Airport Beach,RAB160712,3,27.0,36.3,0.94,8.09,6.46,99.5,79.38,16.45,7.04,331.03,15.44,1.58,
2016-07-12T18:38:00Z,20.910347,-156.689382,RCB,Canoe Beach,RCB160712,3,27.2,35.0,2.43,8.12,6.79,104.0,122.69,18.54,8.49,620.86,55.72,2.02,
2016-07-12T19:02:00Z,20.904476,-156.685931,RWA,Wahikuli,RWA160712,3,27.4,35.7,3.41,8.16,6.66,102.7,83.07,19.36,10.4,617.54,15.74,1.5,NH4 below detectable limit
2016-07-13T17:35:00Z,20.86732,-156.67605,PFF,505 Front Street,PFF160713,3,26.9,36.2,2.64,8.04,5.9,90.6,69.41,17.38,8.43,405.4,3.1,1.5,NH4 below detectable limit
2016-07-13T18:07:00Z,20.86485,-156.67374,PLH,Lindsey Hale,PLH160713,3,27.0,36.0,2.01,8.01,5.49,84.5,81.9,17.35,8.05,279.73,8.05,2.77,
2016-07-13T18:29:00Z,20.86356,-156.67297,PLT,Lahaina Town,PLT160713,3,27.4,36.0,4.96,8.0,5.39,83.3,97.03,18.16,8.69,550.84,22.19,6.61,
2016-07-13T19:20:00Z,20.84236,-156.653035,OLP,Launiupoko,OLP160713,3,28.1,37.8,2.57,8.1,6.56,103.6,98.89,13.9,6.06,87.57,1.38,2.49,
2016-07-13T19:48:00Z,20.80916,-156.62289,OSF,Olowalu Shore Front,OSF160713,3,28.0,37.4,1.86,8.04,6.98,109.8,75.5,13.92,5.1,120.86,5.1,3.37,
2016-07-14T17:38:00Z,20.808444,-156.619697,OPM,Peter Martin Hale,OPM160714,3,27.0,36.9,1.07,7.99,5.55,85.7,79.94,13.63,4.67,136.12,2.54,2.21,
2016-07-14T18:12:00Z,20.80986,-156.61369,OCO,Camp Olowalu,OCO160714,3,28.2,37.4,22.8,8.02,6.22,98.1,67.22,14.86,7.36,595.45,1.49,1.5,NH4 below detectable limit
2016-07-14T18:37:00Z,20.80915,-156.60661,OMM,Mile Marker 14,OMM160714,3,27.6,36.9,4.21,7.96,5.92,92.1,65.68,15.9,6.58,452.22,3.83,3.08,
2016-07-14T19:00:00Z,20.79448,-156.58142,OUB,Ukumehame Beach,OUB160714,3,27.8,37.2,4.15,8.09,6.65,103.9,77.7,11.77,4.37,74.21,1.87,2.19,
2016-07-14T19:25:00Z,20.793809,-156.575211,OPB,Papalaua,OPB160714,3,28.1,37.8,3.96,8.12,6.74,106.3,64.97,11.63,3.26,111.92,3.02,2.43,
2016-07-14T19:48:00Z,20.792747,-156.567326,OPP,Papalaua Pali,OPP160714,3,28.4,37.5,2.41,8.05,6.69,106.7,59.68,12.45,4.42,149.82,1.3,1.92,
