time,water_temperature,salinity,turbidity,ph,oxygen,ammonia
0,2016-06-14T18:03:00Z,25.7,33.3,13.9,8.11,6.86,2.81
1,2016-06-14T18:37:00Z,24.9,23.8,16.8,8.07,6.86,4.15
2,2016-06-14T19:15:00Z,26.8,35.0,2.62,8.06,6.72,1.88
3,2016-06-14T19:50:00Z,27.2,34.7,5.86,8.06,6.78,2.27
4,2016-06-14T20:24:00Z,27.3,34.6,3.47,8.15,6.66,1.5
5,2016-06-15T17:37:00Z,26.7,27.8,2.89,8.05,6.27,1.84
6,2016-06-15T18:28:00Z,26.8,28.1,2.8,7.99,6.57,2.89
7,2016-06-15T18:59:00Z,27.2,28.2,2.91,8.09,6.72,2.57
8,2016-06-15T20:42:00Z,27.4,29.6,1.19,8.11,6.94,2.8
9,2016-06-16T17:45:00Z,25.3,29.3,23.3,7.96,6.86,2.74
10,2016-06-16T18:20:00Z,25.4,27.7,5.48,7.91,6.61,8.69
11,2016-06-16T19:17:00Z,25.2,28.1,16.87,8.06,7.0,1.79
12,2016-06-16T19:40:00Z,25.6,28.0,10.71,8.08,7.1,1.92
13,2016-06-16T20:00:00Z,26.0,36.0,5.37,8.07,7.01,4.45
14,2016-06-28T17:25:00Z,25.7,26.4,11.73,8.09,6.71,5.43
15,2016-06-28T17:54:00Z,24.2,22.2,9.79,8.13,6.9,3.59
16,2016-06-28T18:22:00Z,26.4,27.6,1.77,8.1,6.59,2.59
17,2016-06-28T18:46:00Z,26.6,28.2,3.43,8.09,6.81,3.2
18,2016-06-28T19:06:00Z,26.9,27.9,3.13,8.13,6.77,3.34
19,2016-06-29T17:43:00Z,27.0,30.1,1.65,7.98,6.34,2.91
20,2016-06-29T18:24:00Z,27.2,29.1,3.43,8.04,6.29,2.24
21,2016-06-29T18:50:00Z,27.3,28.9,1.98,8.02,6.21,3.17
22,2016-06-29T20:04:00Z,28.5,29.9,4.53,8.07,6.6,11.26
23,2016-06-29T20:39:00Z,28.0,29.3,1.07,8.1,7.17,6.2
24,2016-06-30T17:33:00Z,27.7,30.3,7.4,8.01,6.43,4.0
25,2016-06-30T18:00:00Z,27.1,29.1,2.61,8.01,6.08,3.12
26,2016-06-30T18:31:00Z,26.9,29.7,10.6,8.05,6.81,2.92
27,2016-06-30T18:50:00Z,27.4,29.3,3.37,8.1,6.88,3.93
28,2016-06-30T19:15:00Z,27.7,29.5,4.54,8.07,6.7,3.48
29,2016-07-12T17:19:00Z,26.6,33.1,5.14,8.09,6.49,2.25
30,2016-07-12T17:49:00Z,26.0,,3.9,8.07,6.53,2.66
31,2016-07-12T18:16:00Z,27.0,36.3,0.94,8.09,6.46,1.58
32,2016-07-12T18:38:00Z,27.2,35.0,2.43,8.12,6.79,2.02
33,2016-07-12T19:02:00Z,27.4,35.7,3.41,8.16,6.66,1.5
34,2016-07-13T17:35:00Z,26.9,36.2,2.64,8.04,5.9,1.5
35,2016-07-13T18:07:00Z,27.0,36.0,2.01,8.01,5.49,2.77
36,2016-07-13T18:29:00Z,27.4,36.0,4.96,8.0,5.39,6.61
37,2016-07-13T19:20:00Z,28.1,37.8,2.57,8.1,6.56,2.49
38,2016-07-13T19:48:00Z,28.0,37.4,1.86,8.04,6.98,3.37
39,2016-07-14T17:38:00Z,27.0,36.9,1.07,7.99,5.55,2.21
40,2016-07-14T18:12:00Z,28.2,37.4,22.8,8.02,6.22,1.5
41,2016-07-14T18:37:00Z,27.6,36.9,4.21,7.96,5.92,3.08
42,2016-07-14T19:00:00Z,27.8,37.2,4.15,8.09,6.65,2.19
43,2016-07-14T19:25:00Z,28.1,37.8,3.96,8.12,6.74,2.43
44,2016-07-14T19:48:00Z,28.4,37.5,2.41,8.05,6.69,1.92
45,2016-07-26T17:21:00Z,26.8,34.1,9.22,8.12,6.28,6.69
46,2016-07-26T17:50:00Z,26.8,35.3,6.16,8.07,6.48,6.35
47,2016-07-26T18:12:00Z,27.2,35.3,1.5,8.14,6.48,6.02
48,2016-07-26T18:36:00Z,27.2,34.6,4.39,8.12,6.57,4.68
49,2016-07-26T18:59:00Z,27.4,34.8,3.22,8.15,6.51,4.55
50,2016-07-27T17:28:00Z,27.4,34.7,,8.04,5.9,9.48
51,2016-07-27T18:05:00Z,27.4,35.0,8.05,8.02,5.9,6.57
52,2016-07-27T18:28:00Z,27.6,35.2,3.7,8.0,5.65,5.11
53,2016-07-27T19:09:00Z,28.1,35.6,0.88,8.13,6.52,3.97
54,2016-07-27T19:39:00Z,27.8,35.5,0.98,8.12,6.89,5.97
55,2016-07-28T17:25:00Z,26.3,35.3,0.93,8.03,5.77,11.32
56,2016-07-28T17:55:00Z,26.6,35.5,12.43,8.05,6.47,42.04
57,2016-07-28T18:15:00Z,26.8,35.4,3.18,7.99,5.83,6.3
58,2016-07-28T18:40:00Z,27.0,35.6,7.46,8.11,6.81,9.69
59,2016-07-28T19:10:00Z,26.2,35.6,3.74,8.13,6.99,4.39
60,2016-07-28T19:30:00Z,26.8,35.3,1.66,8.11,6.86,7.43
61,2016-08-09T17:20:00Z,26.5,34.4,4.59,8.09,6.23,4.87
62,2016-08-09T17:45:00Z,25.8,34.9,5.81,8.03,6.38,3.85
63,2016-08-09T18:11:00Z,27.1,35.4,0.42,8.12,6.27,2.38
64,2016-08-09T18:33:00Z,27.3,35.1,2.3,8.14,6.57,5.4
65,2016-08-09T18:52:00Z,27.2,35.3,0.73,8.16,6.58,4.72
66,2016-08-10T17:26:00Z,27.0,34.6,0.96,8.06,5.87,1.5
67,2016-08-10T17:52:00Z,27.3,35.0,5.5,8.02,5.53,11.9
68,2016-08-10T18:15:00Z,27.5,35.1,4.34,8.04,5.74,5.49
69,2016-08-10T18:56:00Z,28.2,35.8,4.02,8.1,6.57,1.5
70,2016-08-10T19:19:00Z,27.9,35.8,1.45,8.07,6.78,3.61
71,2016-08-11T17:35:00Z,26.6,35.2,1.65,7.96,5.41,1.77
72,2016-08-11T18:00:00Z,27.2,35.6,3.28,8.06,6.18,1.55
73,2016-08-11T18:30:00Z,26.6,35.4,5.87,8.04,6.12,3.26
74,2016-08-11T18:50:00Z,27.2,35.5,10.63,8.08,6.66,1.92
75,2016-08-11T19:15:00Z,27.4,35.7,3.81,8.14,6.89,1.5
76,2016-08-11T19:40:00Z,27.3,35.3,2.33,8.14,7.17,1.5
77,2016-08-23T17:15:00Z,27.1,34.5,3.98,7.86,5.9,5.05
78,2016-08-23T17:39:00Z,26.6,26.7,10.63,8.04,6.36,3.19
79,2016-08-23T18:08:00Z,27.8,35.3,0.46,8.0,5.84,1.89
80,2016-08-23T18:28:00Z,27.9,35.3,0.71,8.06,6.36,2.08
81,2016-08-23T18:47:00Z,28.0,35.7,0.63,8.06,6.23,1.5
82,2016-08-24T17:32:00Z,27.9,35.0,4.43,8.05,6.12,5.09
83,2016-08-24T18:20:00Z,28.4,35.2,25.4,8.01,5.44,5.08
84,2016-08-24T18:42:00Z,28.3,35.7,6.57,8.03,5.84,2.18
85,2016-08-24T19:13:00Z,28.4,35.5,,8.09,6.44,3.45
86,2016-08-24T19:38:00Z,28.6,36.1,3.77,8.13,6.39,1.65
87,2016-08-24T20:00:00Z,29.0,36.0,1.3,8.1,6.85,3.72
88,2016-08-25T17:20:00Z,27.3,36.2,1.6,7.95,5.25,2.62
89,2016-08-25T17:45:00Z,28.2,36.5,2.68,7.99,5.49,1.5
90,2016-08-25T18:00:00Z,27.4,36.0,3.63,7.94,5.6,1.66
91,2016-08-25T18:10:00Z,27.8,36.2,15.23,7.99,6.3,1.5
92,2016-08-25T18:25:00Z,27.7,35.9,5.75,8.03,6.6,4.0
93,2016-08-25T18:35:00Z,27.9,36.0,2.97,8.05,6.57,1.5
94,2016-09-06T17:21:00Z,26.7,34.9,10.9,8.11,6.31,4.98
95,2016-09-06T17:50:00Z,26.1,35.5,6.16,8.15,6.42,1.65
96,2016-09-06T18:10:00Z,27.3,35.3,1.45,8.21,6.41,1.5
97,2016-09-06T18:31:00Z,27.7,35.2,2.17,8.23,6.45,2.48
98,2016-09-06T18:54:00Z,27.8,35.4,3.24,8.23,6.42,1.5
99,2016-09-07T17:48:00Z,27.1,34.5,6.47,8.0,6.18,2.04
100,2016-09-07T18:19:00Z,27.5,36.6,4.33,8.01,6.06,5.25
101,2016-09-07T18:46:00Z,27.5,36.5,6.77,7.96,6.07,2.61
102,2016-09-07T19:10:00Z,27.8,36.7,2.31,7.97,6.26,2.05
103,2016-09-07T19:39:00Z,28.4,37.0,1.12,8.06,6.55,4.48
104,2016-09-08T17:10:00Z,26.7,36.1,3.03,8.15,6.03,1.5
105,2016-09-08T17:35:00Z,25.8,36.0,34.6,8.12,6.53,4.29
106,2016-09-08T18:00:00Z,26.6,35.9,9.39,8.09,6.31,2.1
107,2016-09-08T18:28:00Z,26.2,35.9,7.54,8.18,6.65,1.97
108,2016-09-20T17:15:00Z,26.4,35.7,8.26,7.98,6.22,4.91
109,2016-09-20T17:30:00Z,25.9,32.4,12.07,8.0,6.52,10.28
110,2016-09-20T17:50:00Z,27.1,35.6,1.27,8.03,6.31,9.23
111,2016-09-20T18:10:00Z,27.4,36.1,3.09,8.02,6.34,10.46
112,2016-09-20T18:30:00Z,27.4,36.7,3.19,8.05,6.33,7.07
113,2016-09-21T17:22:00Z,27.0,33.1,12.37,8.04,6.31,6.9
114,2016-09-21T17:52:00Z,27.1,34.4,40.1,8.03,6.08,16.65
115,2016-09-21T18:20:00Z,26.9,34.3,45.33,7.98,6.0,7.55
116,2016-09-21T19:05:00Z,27.7,34.9,10.26,8.11,6.36,7.47
117,2016-09-21T19:36:00Z,27.6,34.8,2.35,8.17,6.58,3.42
118,2016-09-22T17:15:00Z,27.1,36.6,11.13,7.93,6.26,2.35
119,2016-09-22T17:52:00Z,26.6,36.7,26.07,7.86,6.44,4.86
120,2016-09-22T18:21:00Z,27.0,36.1,13.8,7.93,6.4,13.77
121,2016-09-22T18:50:00Z,27.7,37.1,14.63,8.03,6.43,10.52
122,2016-09-22T19:07:00Z,27.5,36.1,14.4,8.09,6.58,8.8
123,2016-09-22T19:25:00Z,27.6,36.1,13.03,8.03,6.5,11.87
124,2016-10-04T17:37:00Z,26.9,34.4,5.38,8.09,6.03,7.02
125,2016-10-04T17:58:00Z,26.9,34.4,7.76,8.08,6.2,6.14
126,2016-10-04T18:17:00Z,27.8,34.3,0.52,8.12,6.19,4.84
127,2016-10-04T18:35:00Z,27.9,34.0,1.99,8.15,6.42,7.29
128,2016-10-04T18:53:00Z,27.8,34.6,1.84,8.17,6.35,1.76
129,2016-10-05T18:16:00Z,27.6,35.5,3.32,7.79,5.9,3.09
130,2016-10-05T18:48:00Z,27.8,35.4,14.73,7.89,5.44,12.31
131,2016-10-05T19:10:00Z,28.2,36.0,20.37,7.87,5.53,13.89
132,2016-10-05T19:35:00Z,28.3,36.5,2.61,8.11,6.42,11.91
133,2016-10-05T20:00:00Z,28.8,37.3,3.36,7.97,6.45,11.8
134,2016-10-05T20:23:00Z,28.8,37.2,2.07,7.99,6.73,4.55
135,2016-10-06T17:30:00Z,26.7,34.9,7.28,8.0,5.94,2.85
136,2016-10-06T17:55:00Z,26.8,34.9,9.11,8.06,6.23,3.27
137,2016-10-06T18:15:00Z,26.7,35.0,6.72,8.02,6.08,2.87
138,2016-10-06T18:35:00Z,27.2,34.8,13.27,8.09,6.41,2.65
139,2016-10-06T19:02:00Z,27.7,35.0,7.3,8.11,6.59,3.13
140,2016-10-06T19:22:00Z,28.1,34.9,4.07,8.1,6.47,7.04
141,2016-10-18T17:39:00Z,26.6,36.0,8.45,7.95,6.23,10.94
142,2016-10-18T18:02:00Z,26.1,35.6,5.78,7.96,6.31,4.35
143,2016-10-18T18:22:00Z,26.9,36.7,0.7,7.99,6.28,3.49
144,2016-10-18T18:40:00Z,27.2,,0.93,8.01,6.22,12.04
145,2016-10-18T18:57:00Z,27.3,36.6,0.9,8.09,6.2,11.06
146,2016-10-19T18:21:00Z,27.1,33.5,8.22,8.09,6.26,3.18
147,2016-10-19T18:51:00Z,27.2,34.0,40.7,8.03,6.12,11.23
148,2016-10-19T19:13:00Z,27.5,33.9,43.67,7.98,6.0,9.78
149,2016-10-19T19:40:00Z,27.7,34.6,6.04,8.15,6.49,3.31
150,2016-10-19T20:01:00Z,27.7,35.0,4.35,8.06,6.28,25.59
151,2016-10-19T20:37:00Z,27.4,34.9,2.94,8.12,6.65,12.06
152,2016-10-20T17:05:00Z,25.7,36.6,8.81,7.93,6.01,5.69
153,2016-10-20T17:40:00Z,25.7,36.6,2.54,8.01,5.95,3.31
154,2016-10-20T18:00:00Z,25.4,36.6,5.47,8.01,5.86,7.48
155,2016-10-20T18:23:00Z,24.8,36.3,14.97,8.08,6.47,6.85
156,2016-10-20T18:57:00Z,25.7,37.0,9.5,8.07,6.59,3.18
157,2016-10-20T19:10:00Z,26.0,35.9,4.38,8.09,6.6,3.18
158,2016-11-01T17:44:00Z,24.8,34.3,7.83,8.07,6.34,7.16
159,2016-11-01T18:01:00Z,24.7,33.5,3.08,8.08,6.68,10.95
160,2016-11-01T18:18:00Z,25.5,34.4,1.4,8.1,6.43,7.16
161,2016-11-01T18:36:00Z,26.0,34.0,1.38,8.12,6.38,3.18
162,2016-11-01T18:55:00Z,26.4,34.4,0.91,8.15,6.38,3.14
163,2016-11-02T18:20:00Z,25.6,32.8,5.64,7.99,5.88,3.18
164,2016-11-02T18:56:00Z,26.2,34.0,12.7,8.02,5.52,19.57
165,2016-11-02T19:17:00Z,26.8,33.7,4.18,7.98,5.38,7.68
166,2016-11-02T19:52:00Z,26.7,34.5,1.86,8.17,6.83,4.77
167,2016-11-02T20:17:00Z,26.5,34.5,1.62,8.13,6.9,8.45
168,2016-11-02T20:46:00Z,26.3,34.8,1.75,8.07,6.83,7.16
169,2016-11-03T17:15:00Z,24.9,34.8,5.68,8.04,6.07,3.08
170,2016-11-03T17:37:00Z,25.1,34.9,1.28,8.11,6.08,3.1
171,2016-11-03T18:00:00Z,24.9,34.8,3.25,8.08,6.0,3.08
172,2016-11-03T18:20:00Z,25.4,34.9,12.6,8.15,6.61,3.21
173,2016-11-03T18:45:00Z,25.4,34.9,3.72,8.16,6.68,3.18
174,2016-11-03T19:02:00Z,25.7,34.7,3.56,8.17,6.87,3.18
175,2016-11-15T17:41:00Z,24.7,34.2,4.23,8.08,6.52,2.91
176,2016-11-15T18:06:00Z,25.5,34.3,5.67,8.15,7.96,3.5
177,2016-11-15T18:29:00Z,25.8,34.4,1.46,8.14,6.49,1.5
178,2016-11-15T18:49:00Z,26.5,34.2,1.66,8.14,6.38,2.9
179,2016-11-15T19:05:00Z,26.4,33.3,1.42,8.12,6.45,1.5
180,2016-11-16T18:16:00Z,26.1,33.7,7.39,8.05,6.2,1.5
181,2016-11-16T18:45:00Z,26.4,34.1,14.03,7.98,5.53,5.18
182,2016-11-16T19:06:00Z,26.5,34.3,10.87,8.03,5.6,2.29
183,2016-11-16T19:30:00Z,26.6,34.4,2.04,8.16,6.73,1.5
184,2016-11-16T19:52:00Z,26.7,34.7,3.33,8.11,6.67,1.5
185,2016-11-16T20:15:00Z,26.8,34.7,4.37,8.11,,2.66
186,2016-11-17T17:45:00Z,24.7,34.8,5.15,8.07,5.78,1.5
187,2016-11-17T18:05:00Z,25.0,34.8,0.69,8.05,6.02,1.56
188,2016-11-17T18:25:00Z,24.5,34.4,4.28,8.04,6.0,1.5
189,2016-11-17T18:50:00Z,24.7,34.6,2.92,8.05,6.58,1.5
190,2016-11-17T19:15:00Z,25.8,34.7,2.97,8.11,6.82,1.5
191,2016-11-17T19:25:00Z,25.7,34.6,2.33,8.06,6.56,1.5
192,2016-11-29T17:41:00Z,24.4,34.2,5.69,8.05,6.36,2.79
193,2016-11-29T18:03:00Z,24.0,33.9,6.36,8.07,6.68,3.03
194,2016-11-29T18:22:00Z,25.1,34.3,1.56,8.14,6.52,1.64
195,2016-11-29T18:42:00Z,25.4,33.8,1.46,8.04,6.53,3.07
196,2016-11-29T18:59:00Z,25.4,33.6,1.49,8.13,6.49,1.5
197,2016-11-30T18:24:00Z,25.0,34.0,9.3,8.07,6.35,2.21
198,2016-11-30T18:51:00Z,25.0,33.9,9.44,8.01,6.24,4.76
199,2016-11-30T19:12:00Z,25.0,34.0,12.5,7.95,6.2,5.22
200,2016-11-30T19:40:00Z,25.4,33.9,2.02,8.1,6.84,1.84
201,2016-11-30T20:01:00Z,24.5,34.5,1.51,8.04,7.13,2.76
202,2016-11-30T20:25:00Z,24.7,34.8,2.42,8.13,7.37,3.81
203,2016-12-01T17:15:00Z,22.9,34.9,9.65,8.02,6.65,1.5
204,2016-12-01T17:40:00Z,23.5,34.7,3.67,8.06,6.53,2.14
205,2016-12-01T18:00:00Z,23.4,34.6,4.52,8.07,6.12,4.13
206,2016-12-01T18:20:00Z,23.3,34.7,7.42,8.13,6.8,1.58
207,2016-12-01T18:40:00Z,23.7,34.7,8.65,8.12,6.79,2.14
208,2016-12-01T19:05:00Z,24.2,34.7,5.37,8.11,6.71,1.5
209,2016-12-13T17:36:00Z,24.7,34.1,8.48,7.95,6.56,3.22
210,2016-12-13T18:03:00Z,24.3,32.7,5.8,8.07,6.65,3.73
211,2016-12-13T18:24:00Z,25.3,34.7,1.21,8.02,6.6,1.5
212,2016-12-13T18:46:00Z,25.3,34.5,3.32,8.09,6.57,4.26
213,2016-12-13T19:03:00Z,25.3,34.1,0.97,8.11,6.59,2.36
